published_at,description
2016-05-07,"등운동 1st video making(스모 데드리프트 180kg) sumo deadlift데드리프트(180kg 1rm 도전)

의자에 기대고 편히 즐기세요"
2016-05-08,스모데드리프트  (sumo deadlifts) 02스모데드리프트 영상
2016-05-09,"body transformation without diet in 3months3 months natural body transformation without diet.

subscribe and thumbs up!"
2016-05-12,"sixpackshortcuts (스쿼트, 어깨운동, 일상) 05some talk & workouts
squats, shoulder press!"
2016-05-16,"all round workouts (전신운동) 07sit back and enjoy this video
subscribe & thumbs up please!"
2016-05-18,"a new day begins(deadlifts, 브이로그) 데드리프트고시공부, 운동 (workouts, studying)
구독 & 좋아요/ subscribe & thumbs up please!"
2016-05-19,가슴운동 (chest day) 08 physique update!bench press/  physique update
2016-05-21,스쿼트 하는 법. 몸상태(how to squat!) 09how to squat!
2016-05-25,"i made it(judo competition) 동아리 유도대회 우승!유도 단체전 정리 영상. 
운동영상은 이틀 내로 올릴게요^^"
2016-05-27,"하체, 어깨 운동 루틴(스쿼트, 숄더프레스) 경희대고시생활 ep. 01공부 & 운동 함께.
오늘의 운동 : 하체 & 어깨."
2016-05-28,"가슴운동 루틴(벤치프레스) 경희대고시생활 ep 02가슴운동 루틴!
좋아요 & 구독하기"
2016-05-29,"실패해도 괜찮아(데드리프트) 경희대고시생활 ep 03등 허리 운동 루틴!
좋아요 & 구독하기"
2016-05-31,"영상은 왜?!(하체, 어깨 운동) squat 경희대고시생활 ep 04스쿼트 & 숄더프레스(squat & shoulder press)
좋아요 & 구독하기"
2016-06-01,"sumo deadlifts(408lbs/185kg )(데드리프트) 경희대고시생활 ep 06sumo deadlifts 408lbs challenge
좋아요 & 구독하기! sub & thumbs up!"
2016-06-01,"위험순간(스쿼트 & 어깨) 경희대고시생활 ep 05the dangerous moment!
좋아요 & 구독하기!"
2016-06-02,"간단한 턱걸이(just pullups) 경희대고시생활 ep 07운동하루 쉬고 턱걸이 했어요
좋아요 & 구독! 
오늘도 화이팅."
2016-06-05,"chestday(가슴운동), physique updates 경희대고시생활 ep 08benchpress(가슴운동 하는 날!)
sub & thumbs up!"
2016-06-06,"일요일 허리, 하체 강화!(sunday workouts) 경희대고시생활 ep 09sunday deadlifts & squats.
데드리프트 & 스쿼트(6월 5일)"
2016-06-07,"유도 훈련(경희대학교) judo team 고시생활 ep 11경희대학교 유도 동아리 훈련, kw lee"
2016-06-07,"초고속 가슴운동!(급할 때) 경희대고시생활 ep 10급할 때 30분 내로 할 수 있는 
가슴운동 꿀팁!"
2016-06-08,"어깨 운동 배우기(어깨, 하체) leg, shoulder 경희대 고시생활 ep 12밀리터리프레스, 스쿼트
좋아요 & 구독/ sub & thumbs up!"
2016-06-09,"브이로그, deadlifts(허리운동 단 한가지) 5x5 training 경희대고시생활 ep13허리 운동 단 한가지 - 데드리프트(deadlifts)
등운동 단 한가지 - 턱걸이(풀업)"
2016-06-11,"캡틴아메리카 어깨 프로젝트(leg, shoulder) 경희대고시생활 ep 14하체, 어깨 운동!
좋아요 & 구독 해주세요 :d"
2016-06-12,"헐크 등근육 프로젝트(back workouts) 경희대고시생활 ep16헐크 등근육 프로젝트
좋아요 & 구독!"
2016-06-12,"토르 가슴 만들기(갑빠프로젝트)chestday 경희대고시생활 ep15토르 가슴 만들기!!!
좋아요&구독!"
2016-06-14,"걱정말아요 그대(하체, 어깨 운동) squat session 경희대고시생활 ep17스쿼트(squats) & 숄더 프레스(shoulder press) 운동 루틴
지금까지 잘 해왔던 것처럼, 우리는 해낼 수 있습니다."
2016-06-15,"인바디 측정(check the middle) 경희대 고시생활 ep19인바디 검사! 등,허리, 하체 운동!(squats & deadlifts party)
좋아요 & 구독! (sub & thumbs up!)"
2016-06-15,"여름 대비 가슴운동(summer workouts) 경희대고시생활 ep18여름 대비 가슴 운동! workouts for summer
좋아요 & 구독! sub & thumbs up!"
2016-06-17,"캡틴아메리카 어깨 만들기(ohp) 경희대고시생활 ep20어깨 운동루틴!
sub & thumbs up! 좋아요 & 구독하기!"
2016-06-18,"보고싶다(가슴운동)chestday 경희대 고시생활 ep21가슴운동 루틴!
벤치프레스(bench press) , 행잉레그레이즈 (hanging leg raises)"
2016-06-19,"캡틴아메리카 등운동(back workouts, 브이로그) 경희대고시생활 ep22등만들기 프로젝트
좋아요 & 구독! sub & thumbs up!"
2016-06-21,"바디체크, 스쿼트(leg day) 경희대고시생활 ep23인터벌 훈련, 스쿼트, 어깨 운동 루틴
좋아요 & 구독 sub & thumbs up!"
2016-06-22,"먹으면서 살빼기(가슴운동) chestday 경희대고시생활 ep24요요없이 다이어트 하기!
좋아요 &구독!! kw lee"
2016-06-23,"눈바디(중간점검) 하체, 어깨운동(squat, ohp) 경희대고시생활 ep 26before & after 영상 만들기 10일 전! 중간 눈바디 점검 입니다.
운동은 하체와 어깨를 했어요! 좋아요 & 구독! sub & thumbs up!"
2016-06-23,"등운동 이것만은 꼭(back workouts)  경희대고시생활 ep 25등운동 이것만 해도 충분 합니다!
좋아요 & 구독 sub & thumbs up!"
2016-06-24,"맨몸운동루틴(머슬업, 푸쉬업, 턱걸이, 복근) 경희대 고시생활 ep 27맨몸 운동 이렇게만 하자!
홈트 루틴, 맨몸 루틴
푸쉬업, 머슬업, 인터벌, 달리기, 복근
좋아요 & 구독!!!"
2016-06-26,"어깨운동 루틴(squat, ohp) 경희대 고시생활 ep29어깨운동 루틴과 스콰트 루틴을 다뤘어요.
좋아요 & 구독 ! sub & thumbs up! 댓글 남겨주세요"
2016-06-26,"캡틴아메리카 등운동2(back workouts) 경희대고시생활 ep28등과 허리 운동 루틴입니다!!
좋아요&구독! 댓글 남겨주세요 ㅎㅎㅎ"
