published_at,description
2016-10-30,"단체사진 도전(가슴운동, 벤치프레스, 브이로그) 복학생 ep 28유도부 단체사진을 찍어봤어요! ㅋㅋ 밖에서 찍는 건 처음이라 시간이 꽤 오래 걸렸네요....
운동영상은 짧은 가슴운동에 관한 것입니다.(간단 가슴 루틴, 간단 운동) 아직 시험이 하나 남아있어서 운동을 많이 못했네요 ㅠㅠ 마지막 남은 시험 하나 끝나면 바로 운동하고 영상 편집해서 올리도록 할게요!! ㅎㅎ

오늘도 시청해주셔서 감사드려요. 감기 조심하세요!  - "
2016-10-26,"중간고사 끝(스쿼트, 어깨, 브이로그, 대학생활) 복학생 ep27중간고사가 드디어 끝났습니다!
사실은 과목이 하나 더 남았어요 그런데 아직 일주일 시간이 있어서
일단 끝났다고 생각하려구요.... ㅎㅎㅎ
스트레스 풀려고 운동을 3시간 정도 했어요
스쿼트(sqauts, 3대운동), 밀리터리프레스, 레그프레스, 래터럴레이즈 등의 하체, 어깨 운동을 진행하고
마지막에는 유도 고무줄 당기는 것과 플랭크 등의 동작도 해줬습니다. 유도 대회가 한 달도 채 남지 않아서.... 열심히 준비를 해야될 것 같아요 ㅎㅎㅎ"
2016-10-23,"힘든만큼 (등 운동, 유도 훈련, 일상, 브이로그) 복학생 ep26힘든만큼 성장할 겁니다!! ㅎㅎㅎ 분명
오늘은 전반적인 등 운동과 유도 훈련을 했어요
유도 훈련은 앞으로 대회가 1달 정도밖에 남지 않아서 
자유연습을 많이 했습니다! 
등운동은 데드리프트, 랫풀다운, 시티드로우 등의 동작을 했고
이두 운동으로 해머컬과 덤벨컬을 해줬어요
주말 마무리 잘하시고 즐거운 월요일을 맞이합시다!

 - "
2016-10-22,"살 찌는 중(가슴운동, 벤치프레스, 일상, 브이로그) 복학생 ep25안녕하세요 입니다! 
요즘 들어 정말 잘 먹고 다녀서 그런지 살이 찌고 있네요 ㅎㅎㅎ
75.5kg 를 찍었습니다 이제 76kg 대에 접어들 것 같은데
시험기간이 끝나면 먹는 것에 조금 신경 써서(다이어트) 체중을 73kg 에 맞춰야 겠어요!
오늘 운동은 가슴운동을 진행했습니다 벤치프레스, 인클라인벤치프레스, 딥스 등의 기본 운동을 진행했고 가장 중점은 역시 3대 운동 중 하나인 플랫 벤치프레스 였습니다!
무게를 조절해서 루틴 따라하시면 굉장히 도움이 될 거예요! 오늘 하루도 화이팅입니다!"
2016-10-19,"하체랑 어깨(중간고사, 대학생활, 브이로그) 복학생 ep24중간고사 기간이라 운동을 아주 볼륨있게 하지 못하고 있어요!
죄송해요 ㅠㅠ!!
그래도 한번씩 가서 운동 계속 하고 있으니
여러분도 운동 꾸준히 하시길 바래요!!

오늘은 3대운동중 스쿼트를 했지만
어깨를 위주로 진행했습니다 ㅎㅎㅎ"
2016-10-17,"등 운동 간단히(중간고사, 대학생활, 브이로그) 복학생 ep23운동을 아주 빡시게는 못했어요... 중간고사는 중간고사인가 봅니다... ㅎㅎ 괜히 분위기에 취해서 힘든척 혼자 다하고 있네요
주말에 간단히 했던 등운동 영상 올려요!! 이번 한 주도 즐겁게 보내시고 행복한 주말 맞이해요: d 화이팅입니다!!!"
2016-10-15,"어깨랑 하체(스쿼트, 프레스, 대학생활, 브이로그) 복학생 ep22어깨 운동과 하체 운동에 대해 담은 영상입니다
그리고 일상! 도 함께 담았습니다 ㅎㅎ
밀리터리프레스, 스쿼트, 래터럴레이즈, 레그프레스 등의 운동 루틴을 참고해주시면 좋을 것 같아요!!"
2016-10-14,"초간단 벤치프레스(가슴운동, 대학생활, 브이로그) 복학생ep21복학생 e21!! 목에 담이 와서 운동을 빡세게 못하고....
초간단 가슴운동 루틴을 소개시켜드립니다! ㅎㅎ
가끔 시간 부족할 때 쓰는 방법인데, 
벤치프레스 10개씩 8~10세트를 하는 거예요.
가슴에 바로 자극오고 볼륨도 충분해서 꽤 쓸만한 방법입니다 ㅎㅎ
(3대운동 위주의 훈련!)"
2016-10-12,"등운동 박살(데드리프트, 일상, 브이로그) 복학생ep203대운동 중 하나인 데드리프트(스모데드리프트) 위주의 등운동 루틴 영상입니다!
일상도 함께 담아 지루하지 않게 볼 수 있을 것 같아요 ㅎㅎㅎ 
시험기간이라 따로 일상을 많이 담을 순 없지만 최대한 노력해볼게요!
오늘도 모두 화이팅 하시고 득근 하세요 :d
 "
2016-10-10,"스쿼트, 어깨 운동(벌써 겨울... 일상,브이로그) 복학생 ep19스쿼트와 어깨 운동을 담았습니다! 
벌써 겨울이 된 듯 합니다.... (10월의 날씨가....)
운동할 때 주의하셔야 될 것 같아요
저도 오늘은 몸이 굳어 있어서 아침에 스트레칭을 조금 해줬어요ㅎㅎ
다치지 않고, 부상당하지 않고 오래 운동하는 게 최고인 것 같아요!
모두 오늘도 즐거운 월요일 보내시고 화이팅 하시길 바래요!

 - 
(3대운동, 스쿼트, 밀리터리프레스, 래터럴 레이즈, 벌써 겨울)"
2016-10-07,"핫도그랑 벤치프레스?!벤치프레스, 가슴운동 루틴을 담은 영상입니다
그리고 함께 대학생활 일상에 대해서도 함께 다뤘어요!
월 수 금 오전에 웨이트 트레이닝을 하고 있고
화 목은 주로 유도를 합니다 :d"
2016-10-05,"가끔은 술마신 다음날(등운동, 브이로그, 일상) 복학생 ep17가끔은 술도 마시고 노는 날이 있어야겠지요?!
그래도 운동은 빼지말고 꾸준히 해야 합니다! :d
술마시러 가기 전에 운동하는 것도 아주 좋은 보상 방법인 것 같아요.
술마신 다음날에는 강도를 낮게 운동을 하도록 하구요! ^^
데드리프트, 등운동, 허리운동 루틴을 올렸습니다. 영상 참고하시면 좋을 것 같아요. 오늘도 화이팅입니다!!
(10월 3일~10월 5일 일상과 운동을 담은 브이로그영상입니다)"
2016-10-02,"스쿼트 10세트(브이로그, 어깨운동) 복학생ep16휴일 일상, 이모네 헬스장에서 가볍게 스쿼트(하체운동) 훈련했습니다!
스쿼트 10회씩 10세트 마치고 어깨운동도 곁들여 주었어요 ㅎㅎ
하이바 풀 스쿼트 연습중이라 스쿼트 무게는 60kg로 진행했습니다."
2016-05-31,"영상은 왜?!(하체, 어깨 운동) squat 경희대고시생활 ep 04스쿼트 & 숄더프레스(squat & shoulder press)
좋아요 & 구독하기"
