title,published_at,published_time,published_year,published_month,published_day,month_upload_count,duration,view_count,likes,dislikes,comment_count,description,tags,comments
100kg 20회 실화?!?? 아이템 착용,2021-05-31,12,2021,05,31,4,37,973,25.0,2.0,12.0,아이템전....,"벤치프레스,스트렝스,경돼 벤치프레스,100kg,벤치프레스100kg,benchpress 100kg,benchpress","['형님영상보고 5X5X5 루틴하고있는데\n5,5,5가 효과가 더있나요 아니면 많이씩 세트를 적게하는게 좋을까요ㅠㅠ 둘다힘들기는한데...', '와 이형 벤치 존나강하네', '아침에 부스터드시고 하시는건가여??', '와 경돼형  요즘 벤치성장속도 미쳣네!', '스퀏이랑 데드 횟수 영상도 올려주세요~', '템빨!!', '경돼님 3년넘게 벤치 1rm 정체인데요 보조밴드로 훈련하면 좀 증량에 도움이 될까요?ㅠㅠㅠ', '밴드반칙!!', '대박이가 지켜보고잇드앗!!', '경돼님 슬링샷  착용 안 하고 몇개 가능 하세요?', '형님 엘보보호대 어디서 구매하신겁니까']"
"벤치 120kg,  도와ㅜ줘 도와ㅜ줘!!",2021-05-30,22,2021,05,30,4,43,1487,33.0,0.0,21.0,출근 전 벤치프레스,"벤치프레스,Benchpress,스트렝스,경돼","['손바닥 전체적으로 미시나요?\n자신만의 포인트좀 공유부탁드려요.\n 상당히 안정적입니다.', '스미스 같아요 ㄷ ㄷ', '와', '와 진짜 야무지다...', '미친 ㄷㄷ', '와 미쳤다🙊 직장다니면서 퍼포먼스 계속 상승하는 거 진짜 귀감이 됩니다', '몸이 좋아지고 있는 이유가 있었네\n저 중량으로 자극 느끼기 ㅆㅅㅌㅊ', '경돼햄 그립 넓게 잡기 시작하고 수행 능력이 부쩍 좋아지신듯 그전엔 120이 1rm 이었던거 같은데', '진짜 너무 쎄잖아...ㅋㅋㅋㅋㅋ', '그래도 잘 하셨네요.\n보조자가 없었다면 심하게\n다쳤을 듯.. 원래 무거운 무게는\n보조자가 있어야 수행이 되겠죠?\n늘 응원할게요!', '괴물', '월요일은 가슴이 국룰이지', '수행능력 미쳣다👊', '스미스머신이네ㄷㄷ', '쌉괴물', '와 밴드 했다고 해도 너무 안정적이다\n내 가슴이 커지는 기분이네']"
출근 전 벤치프레스 100kg,2021-05-26,22,2021,05,26,4,42,2042,31.0,3.0,17.0,,"shorts,short,벤치프레스,직장인","[""'진짜 운동하는 직장인'"", '쌀돼 경돼 갓돼', '요새는 유도 안하세요??', '진짜 강하다ㄷㄷ', '와...... 리얼 리스펙입니다...', '대박.....', '아니 100키로 몇번을 하는거야 ㄷㄷㄷ', '대박이 아버지의 파워!!', '20kg바 맞아여? 출근전 운동진짜..리스펙입니다.....어케하누..', '아니 다이어트하셨는데 무게 안떨어지셨나요?', '자세가 더 좋아졌네\n출근 전에 저 힘은 어디서 나오는걸까👍', '지리넹;', '와 스미스 머신인줄', '시부레 내 스쾃 1rm을 벤치프레스로 13개 친다고?', '와 대단...', '와... 100kg 13개..ㄷㄷㄷ 수행능력 무엇?', '대단쓰']"
궁금했던 것 물어보면 딱 좋은 타이밍!,2021-05-14,02,2021,05,14,4,210,2011,67.0,2.0,16.0,"여러분 안녕하세요 경돼입니다.

모두

Be more positive!


------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,마왕,마선호,경돼 마선호,브이로그","['진짜 멋있다 ㅎㅎ', '도대체이형은 몸이 왜 변하지않는거지', '경돼 가슴이 진짜 이쁘다', '와 프사바뀌었당', '경돼tv 썸네일 무지막지해졌네요!', '경돼님 그리웠어요', '몸 진짜 좋아졌다\n새로 바뀐 사진들 너무 멋있습니다', '경돼님 저는 아직도 이태조님과의 콜라보레이션을 기대하고 있습니다!! ㅠㅠ', '경돼님 다른건 몰라도 정직 ,근면  ,성실은 알것 같습니다.', '진짜 대박이까지만 보고 껐습니다 죄송합니다', '멍멍', '대박이가 최고다 !!!!!', '오랜만이네요...', '유튜브 프사가 낯서네요 경돼형님', '1빠!! 가숨이 더 커지신것같습니다ㅋㅋㅋ']"
비아냥 속에서도 묵묵히 최선을 다할 것.,2021-04-25,02,2021,04,25,1,13,5501,127.0,7.0,64.0,벚꽃슈레딩 Day25,"shorts,짧은동영상,경돼,다이어트","['비아냥이라니요. 지금도\n잘 하시고 있는데.. 누구 탓할\n필요도 없습니다. 본인만 잘 하면\n되는거니까요.', '영상 언제나 잘 보고 있습니다. 감사합니다.', '와 이제 몸 제대로 나왔넼ㅋㅋㅋ', '몇년만에 슈레딩 성공... 거의 도지코인급 경도지', '크 몸 진짜 멋지네요 형 특히 가슴 어깨가 굳이시당', '운동선수,트레이너분들과 \n평범한 일반인과는 비교자체를 할 수가 없죠. \n두 종류의 사람은 전혀 다른 인생을 살고 있으니까요. \n\n현실과 타협하고 그 정해진 시간내에서 열정적으로 밀고, 당기고, 뛰고, 식단하는  \n직장인 헬스마니아들 정말로 진심으로 존경합니다. \n항상 오래오래 꾸준하게만 갑시다. 화이팅.', '반성하고 갑니다 ㅠㅠ\n경돼님 홧팅!', '형님 영상 언제 올리십니까', '배신..', '대박!의지의 경돼님', '누가 비아냥거립니까!!!', '섬머슈레딩이란건 진짜로 존재하는거였어.....!', '요즘은 유도 안하십니까?', '크 역대급인데유? ㅋㅋㅋ', 'Punch through 👊👊', '와 간만에 와보니까 몸 진짜 겁나 좋아졋네;;;', '취준생 시절에 보기 시작했고 어쩌다보니 경돼님이랑 취직 시기도 비슷해졌는데 전 직장인 되자마자 무게고 눈바디고 떡락일로인데 저랑 정반대로 점점 발전하시는 거 보면 참 대단하다는 생각이 듭니다 저도 올해는 슈레딩 좀 도전해볼까 합니다', '직장인이신데도 불구하고 오히려 몇년전보다 몸이 더 좋아졌다는게 신기하네요.. 정말 꾸준함에 놀라고 갑니다. 응원합니다!', '경돼형  진짜 이웃집 친한 형이면 좋겠다 ㅠㅠ', '벽느껴지누', '와 몸 진짜 멋있다', '경태식이 돌아왔구나... 이제 10만 가즈아', ""이번엔...'진짜'다.."", '와 성공이다 진짜.. 경돼님 복근도 따로 하시나요', '결국 교촌슈레딩+엠씨더경돼는 끝난건가요?', '햄 항상 응원할게요!@!멋져요', '오 오랜만에 와서보는데 형 다이어트 성공해누', '오히려 데피가 살아나니 더 커보입니당😎\n어디까지 뺄 생각인지 진심 개좋아졌네 예전보다👍', '쌀돼짱 믿고 있었다능...', '와 대학생시절 야간 피시방아르바이트할때 그 적적한시간을 달래줬던 경돼형.. 넘 변한거아니야?? 멋지다', '가슴라인 너무 이쁘네영 역시 교촌로이더!', '항상 응원합니다 저도 조금이나마 따라가려고 노력하게 됩니다', '야 이형 몸 지리네... 어느 누가 비아냥 거립니까!!', '가슴이 진짜로 웅장하십니다', '크 경돼형님 몸보소 ㄷㄷ 행님 코로나 끝나면 일본가는 vlog 또 올려주세요', '프레임이 확 커졋어요', '츄릅', '복근다마 가엄청크세요 다이어트 더잘되면 ㅎㄷ ㄷ', '경돼형 구독한지 대략3년..드디어 슈레딩 성공을 보다니..', '멋있다잉!!', 'Beautiful Form Pro ❤️', '다이어트 끝나면 교촌로이더 해줘 형', '와 대박', '쌀돼형 데피 점점 좋아지네👍🏼', '쌀돼형 진짜 미쳣다', '와 쌀돼형 태릉유도국대 몸이네요ㄷㄷ', '크 경돼씨 역대급 몸인데요!!', '진짜 날이 갈수록 다르다', '소시민은 도전하는 사람을 비웃는다고하죠\n묵묵히도전하는 모습 응원합니다', '응원합니다:)', '와 엄청 뺐네?? 앞으로 노래만 안 부르면 되겠다.', '와씨 이건 못참지-!!?']"
"78kg, 썸머슈레딩(다이어트) 시작, 이건 못참지",2021-03-13,10,2021,03,13,4,31,4459,101.0,1.0,53.0,"또머슈레딩
#썸머슈레딩 #다이어트 #직장인","다이어트,썸머슈레딩,경돼,운동유튜버,shorts,짧은동영상","['와 몸 미쳤어요', '무한동력 왜 연구함\n경돼의 무한슈레딩이 있는데 ㅋㅋ', '경돼님 헬스장 같은 곳 다니면 어깨운동 한번만 같이 해보고 싶네요 멋져용', '필승 경돼성님 아니 몸 왜래 좋아지셨습니까 직장생활하시믄 바빠서 시간 체력이 많이 없을텐데 역시 구력이 쌓이니까 좋아지는건가요 ㅡㅡ....ㄷㄷㄷ', '저런몸은 실제로봐야 ㅈ됨을 알수있다..\n아님 바로 체감하려면 휴대폰 영상키고 본인몸영상으로찍으면 거울로 보는 자기 몸이 아닌 왠 항아리가 있음을 알수있게 될거다ㅋ', '가즈아~~', '👍👍', '와 뭐야 몸왜케 좋아지셨어요 ㅋㅋㅋㅋㅋㅋㅋㅋ', '멋있다', ""또머슈레딩 슬슬 나올때 됬는데 하는 순간 ' 등장 '"", '보조개가 이쁘십니다형님', '몸 굿', '형 이번엔!!!', '슈레딩의 시즌이 다시....', '돌아왔다 슈레딩~~!!', '더 이상 속지않아..!', '이 남자..이번엔 성공의 냄새가 난다..!한번 더 속아봅니다ㅎㅎㅎ', '그 슈레딩', '경돼 이꼬르 썸머슈레딩😂', '나는 언젠가부터 계절변화를 썸머슈레딩영상이 올라오는걸로 알아차린다. 24절기에 섬머슈레딩, 윈터슈레딩 추가해서 26절기로 만들어야된다고 본다.', '1세대 운동유투버의 자존심 아닙니까\nㅋㅋ\n가즈아', '썸머슈레딩ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ \n이 단어도 이제 싸이월드 감성의 상징..', '또머또레딩 가즈아!', '경돼님 기다렸습니다...', '오게이~~ 또머또레딩 같이할게요 형님', '가창력 키 빼곤 다가진남자', '내게 경돼의 썸머 슈뤠딩이란... \n나 93년 국민학교 여름방학 일기장 항상 못써가지고 엎드려뻗쳐에 엉덩이 존나게 맞던.. 선생님 제발 살려주세요...  하던 그시절의 향수 랄까 ᆢ', '와 이번에는 줄여놓고 시작하네 여름되면 얼마나 갈라질까', '아 영상속 본인인데요 영상불펌 내려주세요', '17년에 운동시작할때 경돼님영상도 보고 운동배우고 했었는데.. 몸이 더 좋아지셨네요 썸머슈레딩 기대됩니다 응원할게요~!!!', '매해 몸이 좋아지시네요', '지립니다.....ㄷㄷㄷ', '언제 또 이래 몸이 더 좋아졌냐 얼굴은 빠지고', '멋있누', '와 진짜 워너비 몸..', '진짜 건강해보임', '역시 교촌로이더!! ㅎㅎㅎ', '몸 사기다', '아니 이 형 어깨 왜 이렇게 좋아졌음? 원래 어깨는 햄이였는데ㄷㄷㄷ', '다시돌아온 썸마 슈뤠딩거의 경돼라.. 이건 흔하네요..', '운튜버 시조새 경돼님의 썸머슈레딩 14시즌을 응원합니다', '어깨가 특히 좋아짐', '톰하디 어서오고', 'ㄹㅇ 경돼님 몸은 뭔가 레슬링 잘할거 같으심', '운동유튜버의조상아닙니까?', '또머슈레딩 이번엔 진짜 하나요?', '와.. 엄청 좋아지셨어요', '멋지다 섹시하다', '와..', '머야 왤캐 좋아졋어']"
아침 저녁으로 운동하기!,2021-03-07,08,2021,03,07,4,419,2817,74.0,2.0,41.0,"여러분 안녕하세요 경돼입니다.

이제 운동을, 하루에 2번씩 넣어주고 있습니다. 3월 말에 변화 한번 보여드릴게요!

bit.ly/metreeKD
닭가슴살, 단백질 할인 링크(링크 통해 가입!)


------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,브이로그","['와 몸 또 만들었네요.. 대박~ 멋있어요', '경돼님 어떻게 운동을 2번이나... 회사가 집 바로 옆이신가봐요 ㅜㅜ', '와..하루 두 번 운동이라니..굉장히 부지런하십니다! 보통 몇 시에 자고 몇 시에 일어나시나요??', '연애 잘 진행중인가 봅니다  활기넘치는 모습 좋왔지~', '여자친구가 생겼단 말이지? 안그래도 반지가 눈에 들어왔는데...이럴수가 ㅠㅠ', '경돼 브이로그가 개꿀잼~~ 몬가 마음 편안해짐', '지금 키 몸무게가 어찌 되시죠? 이참에 65까지 빼서 다이어트 해보시는거 어떤가욤? 골격이 이뻐서 65까지 빼면 잔근육 느낌으로 엄청 이쁠거같은데', '몸 진짜 좋아졌네요', '봐도봐도 좋네요', '아침에 경돼로 시작', '쩜눈이님이랑 유도대결 하시는거 볼 날을 고대해온지 어언 2,3년 된것 같습니다ㅠㅠ 조준호 관장님의 와와 체육관도 가주신다고 한지 그쯤 된것 같습니다ㅠㅠ', '3:01 구독자 감소 point', '이건 못참지', '경돼더맥스도 올려주세욧!', 'You are so nice guy! :)', '고중량으로 시원하게 데드 치던 경돼님은 추억으로 남는건가요 ㅠ', '운동 두번하면 몸 삭는 느낌 들던데 체력 대단하셔유..', '경돼님 개꿀잼 ㅋ', '무소식이 희소식이다 = 맨날 똑같은 영상이 희소식이다', '몇 년 전에 본 영상이 다시 뜬거 같지만 오늘 올라온 영상이였다니 ㅋㅋ 하지만 재밌게 봤습니다 ㅋㅋ', '하루단백질몇그람드시나요??', '여친 소개좀 해줘요! 미래의 형수님이 될수도있자나여 ㅋㅋ', '경돼횽.. 여친 생겼어요? 구취할게요... 형만은 마지막까지 믿었는데 ㅠㅠ', '도입부 횽아 날개짓으로 날아갈 기세 ㄷㄷ', '재미없고,맨날 똑같은 내용의 vlog\n\n\n\n\n\n\n근데 난 왜 이사람 유튜브가 제일 재밌지  하,,,,', '앙경돼띠~~~~', '먹는 거는 하루 몇 칼로리 드십니까', '1빠']"
"(경돼 유도) 주말에 유도 한판, 청림유도관",2021-03-07,07,2021,03,07,4,84,2115,42.0,0.0,16.0,주말 유도,"유도,경돼유도,일반인 유도,청림유도관,judo","['이런 기술은 얼마나 익혀야\n제대로 나올까요? 유단자시니까\n잘 하시는것 같아요. 적어도 3단 정도?', '경돼형 유투브 다시 시작했구나!!!!!', '실천에 써 먹을 정도면 보통 몇년 걸리나요?', '역시 생체유도인의 자랑 경돼님 답습니다! 예전에 20살때 시작한 유도 라는 영상을 보고 많은 감명을 받아 유도를 접하게 된 사람입니다. 경돼님께는 정말 감사드리고있습니다. 유도라는 운동을 더 일찍 접했더라면 이라는 아쉬움까지 생길정도로 유도가 좋아지게 된 계기도 다 경돼님이 계셨기때문이라는 생각이 드네요. 유도 관련 책도 사신 모습도 봤었는데 요새  대회 영상 이후로 유도 관련 영상이 통 없어서물론 직장때문에 바쁘신건 알지만서도 유도는 그만 두시고 보디빌딩에 전념하시기로 하셨나 싶어서 살짝 아쉽다는 생각이 있었는데 이번 영상 보고 나서 역시 경돼님은 포기하지 않으셨구나 싶어서 힘을 얻고가네요. 항상 감사드리고 다음 유도 영상도 기다리고있을게요!', '설킴이 응원하던 풋풋한 유도영상도 못보고 남자냄새심각한 영상만이..', '경돼님 유도영상 너무 좋아요', '형님 골격근량34인 헬린이인데 38까지 키우려면 어느정도 시간이 필요할까요??\n주4회로 하고있습니다!', '0:37 와.. 아프겟다ㅎ', '와우 오랜만에 !!']"
출퇴근 길은 헬스장으로,2021-03-01,13,2021,03,01,4,528,3587,89.0,1.0,43.0,"여러분 안녕하세요 경돼입니다.



------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,집,집회사,회사,헬스장,헬스브이로그,집 브이로그,운동 브이로그","['저 니랩??은 혹시 어디껀지 알 수 있을까요?', '운동 좋아하는 취준생인데 보면서 너무 부러운생각이 드네요.. 저도 언능 취업해서 퇴근하고 운동하고싶어요', '내 대학교 시절 같이 했던 형\n대학교 졸업하시는것부터 회사취직까지\n함께했었는데 다시 보니 너무 좋네요 :)', '스트렝스는 이제 안하고 BB식으로 아예 바꿨나요?', '경돼님 요새는 유도는 안하시나요?', '지리십니다 행님', '여기 인천인가요? 낯익네....', '이따가봐야지...출근길에 졸리네요', '올해도 썸머슈레딩 들어가시나요??', '형 근데 썸머 슈레딩 올해도 가는거야?', '경돼님 벤치프레스 그립이 엄청 넓네요', '요새 자주 올라와서 좋다 ㅎㅎㅎㅎ', '경돼님 영상 보면서 다시 바쁜 일상으로 화이팅 내일부터 다시 열심히!', '헐 인천 날씨 진짜좋아서 너무 부러워요!! 오늘 수원이랑 서울 비 엄청왔다는데ㅜㅜㅜ', '먹으면서 사람사는 이야기도 해주세요 ㅋㅋㅋㅋ', '다시 운동 빡세게 가시는건가요? ㅋㅋ', 'ㅋㅋ 선댓글 후감상 갑니당', '안경잽이 형님 벤치실력은 여전히 강력한가요?', '경돼 영상으로 주말 마무리 하는거 찐소확행', '같은 동네 살아서 배경이 친근하네요\n대박이는 항상 귀엽네요😍', '출첵!', '대박이 첫 등장만으로 심쿵사', '요오오오ㅗ오오ㅗㅗ건 못참찌이이이ㅣ이이ㅣ이이', '앙경돼띠 요건 못ㅌ참치~~~']"
천천히 운동 쌓아 나가기│브이로그,2021-02-21,13,2021,02,21,3,600,3602,91.0,3.0,37.0,"여러분 안녕하세요 경돼입니다.



------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,스쿼트,운동 브이로그,스쿼트 훈련,스쿼트 영상,스쿼트 자세,일상 브이로그,브이로그 영상,korean vlog","['아저씨 다됐네....', '돌아와서 기쁩니다💪💪💪💪', '경돼형님 벌써 4년가까이 구독중인데 항상 영상재밌게 보구있습니다 ㅋㅋ\n운동도 그렇고 항상 생산적으로 지내시는 모습에서 동기부여 많이 받고가용\n\n아그리고 복귀 축하 !', '형 사랑해~❤', '경돼형님 유도는 접으셨나요..', '부평테베즈 화이팅', '형 하이~', '차도 잘 구입하셨네요\n여친도...자기계발에도 열심히~~자극받네요~~', '종합선물셋트 같은 영상 뭔가 빠진듯 하지만 언제나 재밌게  보고 있어요...^^', '항상 잘 보고있습니다 경돼님!!!', '레그프레스 다리절뚝이면서 나오는거 국룰 ㅋㅋㅋ', '렛풀다운 내릴때 바 위치랑 스미스에서 숄더프레스 하실때 팔꿈치 각도가,,,,', '오 경돼형 렌즈 바꾸셨나요?', '대학교때부터 항상 잘보고있습니다^^\n저도 경돼님따라 직장을 다니게됬네요\n퇴근 이후 시간에 운동말고 좀 생산적으로 더 보내고싶은데, 무얼 하시는지 vlog찍어주세요~', '경돼님 3분쯤에서 책읽으실때 목받침대(?) 어디서 구매하셨는지 알려주실수있나요?', '경돼님 200키로 하시는동안 역도화 하나 장만하시죠 ㅋㅋ', '이쯤이면 슬슬 경돼 썸머슈레딩 뉴시즌 할 때가 됬는데...', '경돼님 영상 보면 게을러진 나 자신을 반성하게 됩니다.', '여자친구라고?', '여자친구???? 여자친구?????? 여자친구??????? \n안돼 ㅠㅠㅠㅠㅠㅠㅠㅠ', '앙경돼띠', '아 우리 경돼옹 수척해진거봐 ㅠ', '같은 m자 탈모인입니다.. 탈모관련 제품 리뷰도 부탁드려요!!', '형님 목에 차는 제품 모에요?', '인자강 경돼형 사랑해요 화이팅😗😗', '1일 2영상 이건 못참취~']"
