video_id,title,published_at,description,tags,duration,view_count,likes,dislikes,comment_count
gBx2UrI4JqE,100kg 20회 실화?!?? 아이템 착용,2021-05-31T12:40:46Z,아이템전....,"벤치프레스,스트렝스,경돼 벤치프레스,100kg,벤치프레스100kg,benchpress 100kg,benchpress",PT37S,973,25,2,12
n2jAepfvF6c,"벤치 120kg,  도와ㅜ줘 도와ㅜ줘!!",2021-05-30T22:29:56Z,출근 전 벤치프레스,"벤치프레스,Benchpress,스트렝스,경돼",PT43S,1487,33,0,21
_thZKDd0NGo,출근 전 벤치프레스 100kg,2021-05-26T22:34:52Z,,"shorts,short,벤치프레스,직장인",PT42S,2042,31,3,17
UURowG79j8c,궁금했던 것 물어보면 딱 좋은 타이밍!,2021-05-14T02:32:46Z,"여러분 안녕하세요 경돼입니다.

모두

Be more positive!


------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,마왕,마선호,경돼 마선호,브이로그",PT3M30S,2011,67,2,16
0Cn9Jk0BrdE,비아냥 속에서도 묵묵히 최선을 다할 것.,2021-04-25T02:51:34Z,벚꽃슈레딩 Day25,"shorts,짧은동영상,경돼,다이어트",PT13S,5501,127,7,64
QXpJ7WOF4Zo,"78kg, 썸머슈레딩(다이어트) 시작, 이건 못참지",2021-03-13T10:49:13Z,"또머슈레딩
#썸머슈레딩 #다이어트 #직장인","다이어트,썸머슈레딩,경돼,운동유튜버,shorts,짧은동영상",PT31S,4459,101,1,53
w2eBt4FhFVQ,아침 저녁으로 운동하기!,2021-03-07T08:59:56Z,"여러분 안녕하세요 경돼입니다.

이제 운동을, 하루에 2번씩 넣어주고 있습니다. 3월 말에 변화 한번 보여드릴게요!

bit.ly/metreeKD
닭가슴살, 단백질 할인 링크(링크 통해 가입!)


------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,브이로그",PT6M59S,2817,74,2,41
66z8rKLa-3Q,"(경돼 유도) 주말에 유도 한판, 청림유도관",2021-03-07T07:37:24Z,주말 유도,"유도,경돼유도,일반인 유도,청림유도관,judo",PT1M24S,2115,42,0,16
JeEU0qeb-0w,출퇴근 길은 헬스장으로,2021-03-01T13:48:44Z,"여러분 안녕하세요 경돼입니다.



------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,집,집회사,회사,헬스장,헬스브이로그,집 브이로그,운동 브이로그",PT8M48S,3587,89,1,43
RodnFgR1vmg,천천히 운동 쌓아 나가기│브이로그,2021-02-21T13:30:02Z,"여러분 안녕하세요 경돼입니다.



------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,스쿼트,운동 브이로그,스쿼트 훈련,스쿼트 영상,스쿼트 자세,일상 브이로그,브이로그 영상,korean vlog",PT10M,3602,91,3,37
Hb_OsRmhpuA,"(체중78kg) 퇴근 후 벤치프레스 100kg, 아슬아슬",2021-02-21T11:09:31Z,"여러분 안녕하세요 경돼입니다.



------------------------------------------------------------------------------
경희대학교(서울) 졸업
전공 : 생물학, 취미 : 유도, 파워리프팅, 여행, 영상 편집
Gear : Sony a6500, Sony FDR-X3000, Galaxy S9
Business E-mail : yikw91@gmail.com
-------------------------------------------------------------------------------
SNS
https://www.instagram.com/kw1000lbs/
-------------------------------------------------------------------------------","경돼,스트렝스,훈련,운동vlog,운동유튜버,워라밸,경돼운동,벤치프레스,벤치프레스 100kg",PT35S,4808,49,0,21
