일자,식사,메뉴,작업자,대분류,중분류(재료1),중분류2(재료2),중분류3(재료3),중분류4(재료4),중분류5(재료5),소분류1(육류 종류만 기재),양식(western) 여부
2016.2.1,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.1,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.1,중식,오징어찌개,,찌개류,어패류,채소류,,,,,
2016.2.1,중식,쇠불고기,편도연,볶음류,채소류,육류,,,,소,
2016.2.1,중식,계란찜,김도민,찜류,난류,채소류,,,,,
2016.2.1,중식,청포묵무침,문성일,무침류,묵류,양념 및 장류,,,,,
2016.2.1,중식,요구르트,편도연,유제품,,,,,,,
2016.2.1,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.1,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.1,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.1,석식,육개장,문성일,국탕류,채소류,육류,,,,,
2016.2.1,석식,자반고등어구이,김윤수,구이류,어패류,,,,,,
2016.2.1,석식,두부조림,연제호,조림류,두류,양념 및 장류,,,,,
2016.2.1,석식,건파래무침,연제호,무침류,해조류,양념 및 장류,,,,,
2016.2.1,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.2,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.2,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.2,중식,김치찌개,편도연,찌개류,김치류,,,,,,
2016.2.2,중식,가자미튀김,김도민,튀김류,어패류,곡류,난류,,,,
2016.2.2,중식,모둠소세지구이,,구이류,육류,,,,,돼지,
2016.2.2,중식,마늘쫑무침,김윤수,무침류,채소류,,,,,,
2016.2.2,중식,요구르트,편도연,유제품,,,,,,,
2016.2.2,중식,배추겉절이,편도연,무침류,김치류,,,,,,
2016.2.2,석식,콩나물밥*양념장,편도연,밥류,곡류,채소류,양념 및 장류,,,,
2016.2.2,석식,어묵국,김도민,국탕류,어패류,,,,,,
2016.2.2,석식,유산슬,문성일,볶음류,어패류,채소류,,,,,
2016.2.2,석식,아삭고추무침,문성일,무침류,채소류,,,,,,
2016.2.2,석식,바나나,김도민,단품류,과일류,,,,,,
2016.2.2,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.3,중식,카레덮밥,문성일,밥류,양념 및 장류,,,,,,
2016.2.3,중식,팽이장국,김윤수,국탕류,채소류,양념 및 장류,,,,,
2016.2.3,중식,치킨핑거,연제호,튀김류,육류,,,,,치킨류,
2016.2.3,중식,쫄면야채무침,편도연,무침류,면류,채소류,,,,,
2016.2.3,중식,견과류조림,김도민,조림류,두류,곡류,,,,,
2016.2.3,중식,요구르트,편도연,유제품,,,,,,,
2016.2.3,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.3,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.3,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.3,석식,청국장찌개,김윤수,찌개류,두류,양념 및 장류,채소류,,,,
2016.2.3,석식,황태양념구이,김도민,구이류,어패류,,,,,,
2016.2.3,석식,고기전,편도연,전류,육류,,,,,육류,
2016.2.3,석식,새송이버섯볶음,김도민,볶음류,채소류,,,,,,
2016.2.3,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.4,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.4,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.4,중식,쇠고기무국,편도연,국탕류,채소류,육류,,,,소,
2016.2.4,중식,주꾸미볶음,김도민,볶음류,어패류,양념 및 장류,채소류,,,,
2016.2.4,중식,부추전,연제호,전류,채소류,,,,,,
2016.2.4,중식,시금치나물,김윤수,무침류,채소류,,,,,,
2016.2.4,중식,요구르트,편도연,유제품,,,,,,,
2016.2.4,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.4,석식,미니김밥*겨자장,김윤수,밥류,곡류,양념 및 장류,,,,,
2016.2.4,석식,우동,문성일,국탕류,면류,,,,,,
2016.2.4,석식,멕시칸샐러드,연제호,샐러드류,채소류,어패류,양념 및 장류,,,,
2016.2.4,석식,군고구마,연제호,단품류,채소류,,,,,,
2016.2.4,석식,무피클,문성일,단품류,채소류,,,,,,
2016.2.4,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.5,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.5,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.5,중식,떡국,김도민,국탕류,곡류,난류,채소류,,,,
2016.2.5,중식,돈육씨앗강정,김도민,튀김류,육류,두류,난류,곡류,,돼지,
2016.2.5,중식,우엉잡채,연제호,볶음류,채소류,,,,,,
2016.2.5,중식,청경채무침,편도연,무침류,채소류,,,,,,
2016.2.5,중식,요구르트,편도연,유제품,,,,,,,
2016.2.5,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.5,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.5,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.5,석식,차돌박이찌개,편도연,찌개류,육류,채소류,양념 및 장류,,,육류(소),
2016.2.5,석식,닭갈비,연제호,볶음류,육류,채소류,,,,닭고기,
2016.2.5,석식,감자소세지볶음,문성일,볶음류,육류,채소류,,,,돼지,
2016.2.5,석식,콩나물무침,편도연,무침류,채소류,,,,,,
2016.2.5,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.11,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.11,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.11,중식,시래기국,편도연,국탕류,채소류,,,,,,
2016.2.11,중식,훈제오리구이,연제호,구이류,육류,,,,,오리고기,
2016.2.11,중식,도토리묵무침,김윤수,무침류,묵류,양념 및 장류,,,,,
2016.2.11,중식,쌈무,김윤수,장아찌류,채소류,,,,,,
2016.2.11,중식,양파절임,김도민,장아찌류,채소류,,,,,,
2016.2.11,중식,요구르트,편도연,유제품,,,,,,,
2016.2.11,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.11,석식,참치회덮밥,연제호,밥류,어패류,채소류,,,,,
2016.2.11,석식,맑은국,김윤수,국탕류,채소류,,,,,,
2016.2.11,석식,군만두,김도민,튀김류,육류,채소류,곡류,,,돼지,
2016.2.11,석식,과일샐러드,연제호,샐러드류,과일류,,,,,,
2016.2.11,석식,락교,김도민,장아찌류,채소류,,,,,,
2016.2.11,석식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.12,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.12,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.12,중식,꽃게탕,김윤수,국탕류,어패류,,,,,,
2016.2.12,중식,돈육굴소스볶음,김도민,볶음류,육류,,,,,돼지고기,
2016.2.12,중식,옥수수전,연제호,전류,채소류,,,,,,
2016.2.12,중식,유채나물,김도민,무침류,채소류,,,,,,
2016.2.12,중식,요구르트,편도연,유제품,,,,,,,
2016.2.12,중식,포기김치,연제호,무침류,김치류,,,,,,
2016.2.12,석식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.12,석식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.12,석식,김치콩나물국,김도민,국탕류,채소류,김치류,,,,,
2016.2.12,석식,미니함박,김윤수,구이류,육류,,,,,돼지,
2016.2.12,석식,어묵볶음,김윤수,볶음류,어패류,,,,,,
2016.2.12,석식,물파래무침,김도민,무침류,해조류,,,,,,
2016.2.12,석식,깍두기,연제호,무침류,김치류,,,,,,
2016.2.15,중식,쌀밥,문성일,밥류,곡류,,,,,,
2016.2.15,중식,잡곡밥,편도연,밥류,곡류,,,,,,
2016.2.15,중식,시금치국,김도민,국탕류,채소류,양념 및 장류,,,,,
2016.2.15,중식,닭감자조림,,조림류,육류,채소류,양념 및 장류,,,닭,
