메뉴,작업자,대분류,중분류(재료1),중분류2(재료2),중분류3(재료3),중분류4(재료4),중분류5(재료5),소분류1(육류 종류만 기재),양식(western) 여부,,,,,
치킨까스*소스,김도민,튀김류,어패류,난류,양념 및 장류,,,,,,,,,
연두부*장,김도민,단품류,두류,양념 및 장류,,,,,,,,,,
*자기계발의날*,김도민,,,,,,,,,,,,,
상추*양념장,김도민,샐러드류,채소류,,,,,,,,,,,
새송이버섯전,김도민,전류,채소류,난류,,,,,,,,,,
소고기숙주볶음,김도민,볶음류,육류,채소류,,,,소,,,,,,
만두국,김도민,국탕류,만두류,,,,,,,,,,,
소보루빵,김도민,빵과자류,난류,,,,,,,,,,,
마늘쫑건새우,김도민,볶음류,어패류,채소류,,,,,,,,,,
새송이버섯곤약장조림,김도민,조림류,채소류,묵류,,,,,,,,,,
얼갈이된장국,김도민,국탕류,채소류,양념 및 장류,,,,,,,,,,
시금치흑임자샐러드,김도민,샐러드류,채소류,양념 및 장류,,,,,,,,,,
맑은장국,김도민,국탕류,양념 및 장류,,,,,,,,,,,...
베이컨샌드,김도민,빵과자류,육류,곡류,채소류,,,돼지,,,,,,0
소고기국,김도민,국탕류,육류,채소류,,,,소,,,,,,
건새우무국,김도민,국탕류,어패류,채소류,,,,,,,,,,
미트볼조림,김도민,조림류,육류,,,,,소,돼지,,,,,
돈까스김밥,김도민,김(초)밥류,육류,곡류,해조류,난류,,돼지,,,,,,
홍합살무국,김도민,국탕류,채소류,어패류,,,,,,,,,,
쇠고기모둠장조림,김도민,조림류,육류,,,,,소,,,,,,
매운어묵볶음,김도민,볶음류,어패류,채소류,,,,,,,,,,
짬뽕불고기,김도민,국수류,육류,어패류,채소류,,,소,,,,,,
뉴욕핫도그,김도민,빵과자류,육류,채소류,곡류,,,돼지,,,,,,
사과오이냉국,김도민,국탕류,과일류,채소류,해조류,,,,,,,,,
황태국,김도민,국탕류,어패류,채소류,,,,,,,,,,
떡갈비주먹밥,김도민,김(초)밥류,육류,곡류,,,,돼지,,,,,,
오징어초무침,김도민,무침류,어패류,채소류,,,,,,,,,,
어묵고추장볶음,김도민,볶음류,어패류,양념 및 장류,,,,,,,,,,
삼치튀김*데리야끼,김도민,튀김류,어패류,난류,,,,,,,,,,
크로크무슈,김도민,빵과자류,곡류,난류,,,,,,,,,,
진미채오이무침,김도민,무침류,어패류,채소류,,,,,,,,,,
새송이볶음,김도민,볶음류,채소류,,,,,,,,,,,
백종원의사라다빵,김도민,빵과자류,채소류,난류,곡류,,,,,,,,,
오이보트샐러드,김도민,샐러드류,채소류,난류,,,,,,,,,,
오징어땅콩조림,김도민,조림류,어패류,곡류,,,,,,,,,,
브로컬리새우전,김도민,전류,채소류,어패류,난류,곡류,,,,,,,,
냉이바지락국,김도민,국탕류,채소류,어패류,,,,,,,,,,
가쓰오장국,김도민,국탕류,어패류,양념 및 장류,,,,,,,,,,
웨지감자,김도민,튀김류,채소류,곡류,,,,,,,,,,
고추장찌개,김도민,찌개류,양념 및 장류,채소류,,,,,,,,,,
추가밥,김도민,밥류,곡류,,,,,,,,,,,
꽁치한마리구이*와사비장,김도민,구이류,어패류,양념 및 장류,,,,,,,,,,
멸치주먹밥,김도민,김(초)밥류,어패류,곡류,,,,,,,,,,
단호박범벅,김도민,죽류,채소류,,,,,,,,,,,
국물떡볶이,김도민,조림류,어패류,곡류,양념 및 장류,채소류,,,,,,,,
어묵토마토조림,김도민,조림류,어패류,채소류,,,,,,,,,,
*도시락김,김도민,단품류,해조류,,,,,,,,,,,
샤워크림새우,김도민,튀김류,어패류,곡류,난류,,,,,,,,,
골뱅이무침&소면,김도민,국수류,어패류,채소류,양념 및 장류,,,,,,,,,
열무김치,김도민,김치류,채소류,,,,,,,,,,,
허니버터옥수수,김도민,단품류,곡류,,,,,,,,,,,
치킨샐러드,김도민,샐러드류,육류,채소류,,,,닭,,,,,,
채소볶음밥&자장소스,김도민,밥류,육류,채소류,곡류,양념 및 장류,,돼지,,,,,,
또띠아피자,김도민,빵과자류,곡류,난류,채소류,,,,,,,,,
해물누룽지탕,김도민,국탕류,어패류,곡류,난류,,,,,,,,,
고구마스프,김도민,국탕류,채소류,,,,,,,,,,,
핫케익,김도민,빵과자류,곡류,난류,,,,,,,,,,
갈치무조림,김도민,조림류,어패류,채소류,양념 및 장류,,,,,,,,,
요플레,김도민,유제품,과일류,,,,,,,,,,,
장어강정,김도민,튀김류,어패류,,,,,,,,,,,
두부구이,김도민,구이류,두류,,,,,,,,,,,
꼬시래기무침,김도민,무침류,해조류,,,,,,,,,,,
대구매운탕,김도민,국탕류,어패류,채소류,양념 및 장류,,,,,,,,,
순두부계란국,김도민,국탕류,두류,난류,,,,,,,,,,
선지해장국,김도민,국탕류,양념 및 장류,,,,,,,,,,,
유산슬덮밥,김도민,밥류,육류,어패류,,,,,,,,,,
치킨까스*데미소스,김도민,튀김류,육류,곡류,난류,,,닭,,,,,,
옥수수감자범벅,김도민,샐러드류,곡류,채소류,,,,,,,,,,
꽈리고추어묵볶음,김도민,볶음류,채소류,어패류,,,,,,,,,,
피클,김도민,단품류,채소류,,,,,,,,,,,
묵은지닭볶음탕,김도민,탕류,육류,김치류,,,,닭,,,,,,
숙주미나리무침,김도민,무침류,채소류,,,,,,,,,,,
고구마샐러드,김도민,샐러드류,채소류,,,,,,,,,,,
크래미숙주무침,김도민,무침류,해산물,채소류,,,,,,,,,,
우거지올갱이국,김도민,국탕류,채소류,어패류,,,,,,,,,,
진미채무침,김도민,무침류,어패류,,,,,,,,,,,
고추튀김,김도민,튀김류,채소류,,,,,,,,,,,
쇠고기두부찜,김도민,찜류,육류,채소류,,,,소고기,,,,,,
호박부추전,김도민,전류,채소류,,,,,,,,,,,
오이나물볶음,김도민,볶음류,채소류,,,,,,,,,,,
닭살겨자냉채,김도민,무침류,육류,채소류,,,,,,,,,,
건도토리묵파프리카볶음,김도민,볶음류,묵류,채소류,,,,,,,,,,
무쌈말이,김도민,장아찌류,채소류,,,,,,,,,,,
순두부백탕*양념장,김도민,국탕류,두류,,,,,,,,,,,
양상추샐러드*유자D,김도민,샐러드류,채소류,,,,,,,,,,,
햄에그샌드위치,김도민,빵과자류,육류,난류,,,,돼지고기,,,,,,
스팸계란말이,김도민,단품류,육류,난류,,,,돼지고기,,,,,,
꼬마김밥*겨자장,김도민,밥류,채소류,,,,,,,,,,,
햄맛살볶음,김도민,볶음류,육류,어패류,,,,돼지고기,,,,,,
찐만두,김도민,단품류,육류,채소류,,,,돼지고기,,,,,,
두부브로컬리무침,김도민,무침류,두류,채소류,,,,,,,,,,
매운쇠고기국,김도민,국탕류,육류,,,,,소고기,,,,,,
열무김치볶음,김도민,볶음류,채소류,,,,,,,,,,,
무청된장국,김도민,국탕류,채소류,,,,,,,,,,,
메밀국수,김도민,국수류,곡류,,,,,,,,,,,
옹심이감자국,김도민,국탕류,채소류,,,,,,,,,,,
얼큰낙지죽,김도민,죽류,어패류,곡류,,,,,,,,,,
햄치즈샌드,김도민,빵과자류,육류,난류,,,,돼지고기,,,,,,
깻잎순볶음,김도민,볶음류,채소류,,,,,,,,,,,
오징어순대,김도민,찜류,어패류,,,,,,,,,,,
브로컬리된장무침,김도민,무침류,채소류,양념 및 장류,,,,,,,,,,
들깨미역국,김도민,국탕류,해조류,,,,,,,,,,,
흑임자시금치샐러드,김도민,샐러드류,채소류,,,,,,,,,,,
언양식바싹불고기,김도민,볶음류,육류,,,,,소고기,,,,,,
매운족발볶음,김도민,볶음류,육류,,,,,돼지고기,,,,,,
마늘쫑건새우볶음,김도민,볶음류,채소류,어패류,,,,,,,,,,
돈육굴소스볶음,김도민,볶음류,육류,,,,,돼지고기,,,,,,
호박채나물,김도민,무침류,채소류,,,,,,,,,,,
부대찌개,김도민,찌개류,육류,난류,,,,돼지고기,,,,,,
감자샐러드,김도민,샐러드류,채소류,,,,,,,,,,,
명태조림,김도민,조림류,어패류,,,,,,,,,,,
해물누룽지,김도민,죽류,어패류,곡류,,,,,,,,,,
옥수수계란찜,김도민,찜류,난류,채소류,,,,,,,,,,
양상추샐러드*바나나드레싱,김도민,샐러드류,채소류,,,,,,,,,,,
가자미찜,김도민,찜류,어패류,,,,,,,,,,,
쇠고기탕수,김도민,튀김류,육류,,,,,소고기,,,,,,
김치국,김도민,국탕류,채소류,,,,,,,,,,,
쇠고기들깨소스무침,김도민,무침류,김치류,,,,,,,,,,,
두부카프레제,김도민,샐러드류,두류,과일류,,,,,,,,,,
오렌지쥬스,김도민,음료 및 주류,과일류,,,,,,,,,,,
배추흑임자무침,김도민,무침류,채소류,,,,,,,,,,,
베이컨볶음밥,김도민,비빔밥볶음밥류,육류,곡류,,,,돼지고기,,,,,,
메추리알조림,김도민,조림류,난류,,,,,,,,,,,
수제돈가스,김도민,튀김류,육류,,,,,돼지고기,,,,,,
꽁치구이*와사비장,김도민,구이류,어패류,양념 및 장류,,,,,,,,,,
연두부찌개,김도민,찌개류,두류,,,,,,,,,,,
겨울초나물,김도민,무침류,채소류,,,,,,,,,,,
황태양념구이,김도민,구이류,어패류,,,,,,,,,,,
스팸김치찌개,김도민,찌개류,육류,김치류,,,,돼지고기,,,,,,
로제스파게티,김도민,국수류,면류,,,,,,,,,,,
브로컬리오징어숙회,김도민,찜류,채소류,어패류,,,,,,,,,,
김말이강정,김도민,튀김류,해조류,채소류,,,,,,,,,,
쑥국,김도민,국탕류,채소류,,,,,,,,,,,
닭볶음,김도민,볶음류,육류,채소류,,,,닭,,,,,,
애호박볶음,김도민,볶음류,채소류,,,,,,,,,,,
오징어불고기,김도민,볶음류,육류,어패류,채소류,,,돼지,,,,,,
꿀호떡,김도민,빵과자류,곡류,난류,,,,,,,,,,
연두부샐러드*소스,김도민,샐러드류,두류,채소류,양념 및 장류,,,,,,,,,
검정콩조림,김도민,조림류,두류,,,,,,,,,,,
순대채소볶음,김도민,볶음류,채소류,,,,,,,,,,,
참나물땅콩무침,김도민,무침류,채소류,두류,,,,,,,,,,
팽이버섯국,김도민,국탕류,채소류,,,,,,,,,,,
두반장가지볶음,김도민,볶음류,양념 및 장류,채소류,,,,,,,,,,
시래기들깨탕,김도민,국탕류,채소류,곡류,,,,,,,,,,
베이비샐러드*석류D,김도민,샐러드류,채소류,과일류,,,,,,,,,,
견과류조림,김도민,조림류,두류,곡류,,,,,,,,,,
야채호빵,김도민,빵과자류,채소류,곡류,난류,,,,,,,,,
깻잎전,김도민,전류,채소류,곡류,난류,,,,,,,,,
채소죽,김도민,죽류,채소류,곡류,,,,,,,,,,
과일플레인샐러드,김도민,샐러드류,과일류,채소류,양념 및 장류,,,,,,,,,
계란떡볶이,김도민,볶음류,난류,곡류,양념 및 장류,,,,,,,,,
수제칠리핫도그,김도민,빵과자류,육류,곡류,난류,양념 및 장류,,돼지,,,,,,
부대찌개&쫄면사리,김도민,찌개류,육류,채소류,곡류,양념 및 장류,,돼지,소,,,,,
들깨버섯국,김도민,국탕류,곡류,채소류,,,,,,,,,,
