iter	Passed	Remaining
0	0	1241
1	2	2014
2	3	2393
3	5	2528
4	5	2226
5	6	2004
6	6	1895
7	6	1742
8	7	1658
9	7	1575
10	8	1486
11	8	1413
12	8	1358
13	9	1314
14	9	1274
15	10	1241
16	10	1208
17	10	1173
18	11	1150
19	11	1117
20	11	1090
21	11	1068
22	14	1215
23	16	1324
24	28	2245
25	28	2187
26	29	2137
27	29	2081
28	29	2037
29	30	1988
30	30	1940
31	30	1906
32	31	1867
33	31	1826
34	31	1789
35	32	1754
36	32	1724
37	32	1692
38	33	1676
39	33	1648
40	33	1622
41	34	1595
42	35	1598
43	35	1580
44	35	1559
45	36	1536
46	36	1514
47	36	1491
48	41	1639
49	71	2790
50	72	2754
51	74	2784
52	75	2770
53	76	2756
54	77	2732
55	77	2705
56	78	2670
57	79	2661
58	79	2625
59	80	2596
60	80	2563
61	81	2535
62	81	2503
63	81	2474
64	82	2445
65	82	2415
66	82	2386
67	82	2356
68	83	2340
69	83	2313
70	84	2297
71	85	2284
72	85	2261
73	86	2239
74	86	2227
75	87	2217
76	88	2218
77	89	2216
78	90	2198
79	91	2199
80	92	2179
81	92	2165
82	93	2155
83	93	2138
84	94	2126
85	95	2118
86	102	2254
87	102	2235
88	107	2315
89	108	2299
90	108	2279
91	109	2264
92	109	2248
93	110	2230
94	110	2212
95	116	2301
96	194	3817
97	195	3787
98	195	3755
99	196	3725
100	196	3693
101	196	3661
102	197	3630
103	197	3603
104	198	3574
105	198	3543
106	198	3514
107	198	3484
108	199	3454
109	200	3438
110	201	3421
111	202	3405
112	203	3393
113	203	3368
114	204	3344
115	205	3339
116	206	3320
117	206	3296
118	207	3272
119	207	3248
120	209	3248
121	212	3267
122	212	3242
123	212	3217
124	213	3204
125	214	3185
126	215	3183
127	216	3163
128	219	3179
129	220	3167
130	220	3145
131	222	3145
132	223	3135
133	226	3154
134	226	3135
135	227	3115
136	231	3142
137	231	3124
138	238	3188
139	243	3230
140	243	3210
141	243	3188
142	244	3171
143	244	3153
144	245	3135
145	245	3115
146	245	3097
147	246	3082
148	246	3063
149	246	3043
150	247	3024
151	247	3008
152	247	2990
153	247	2972
154	248	2953
155	248	2934
156	248	2916
157	248	2902
158	249	2885
159	249	2868
160	249	2851
161	249	2834
162	250	2819
163	251	2812
164	252	2807
165	253	2796
166	254	2791
167	257	2807
168	258	2796
169	258	2781
170	259	2771
171	259	2756
172	259	2742
173	259	2727
174	260	2713
175	260	2701
176	260	2687
177	261	2673
178	261	2661
179	263	2667
180	264	2656
181	264	2643
182	265	2632
183	265	2620
184	265	2608
185	266	2596
186	267	2589
187	267	2577
188	267	2564
189	267	2552
190	268	2540
191	268	2529
192	269	2524
193	271	2528
194	281	2601
195	281	2590
196	285	2613
197	285	2601
198	286	2590
199	286	2579
200	286	2568
201	287	2559
202	288	2550
203	288	2539
204	288	2527
205	288	2516
206	289	2504
207	289	2493
208	289	2482
209	290	2472
210	290	2463
211	291	2455
212	291	2445
213	291	2435
214	292	2428
215	293	2424
216	298	2455
217	299	2448
218	299	2438
219	300	2429
220	301	2428
221	302	2423
222	305	2437
223	306	2430
224	306	2421
225	307	2412
226	307	2404
227	308	2396
228	308	2387
229	309	2381
230	309	2372
231	310	2363
232	310	2354
233	310	2345
234	311	2337
235	311	2329
236	312	2321
237	312	2313
238	332	2448
239	332	2440
240	333	2434
241	334	2427
242	344	2493
243	374	2695
244	376	2694
245	404	2886
246	405	2876
247	405	2866
248	406	2856
249	406	2845
250	406	2835
251	407	2824
252	468	3233
253	468	3221
254	468	3208
255	469	3197
256	469	3185
257	469	3173
258	471	3172
259	493	3303
260	515	3434
261	516	3429
262	517	3416
263	517	3404
264	517	3391
265	518	3379
266	518	3367
267	519	3355
268	523	3367
269	524	3358
270	526	3359
271	539	3425
272	539	3413
273	539	3401
274	540	3388
275	541	3379
276	541	3367
277	541	3356
278	543	3351
279	543	3340
280	544	3329
281	544	3317
282	544	3305
283	545	3294
284	545	3285
285	546	3274
286	546	3262
287	546	3251
288	547	3240
289	547	3228
290	567	3330
291	571	3343
292	572	3334
293	578	3357
294	581	3363
295	595	3426
296	596	3418
297	596	3407
298	618	3516
299	619	3510
300	619	3498
301	620	3486
302	620	3476
303	621	3464
304	621	3453
305	621	3441
306	621	3429
307	622	3418
308	622	3409
309	623	3398
310	623	3386
311	624	3376
312	624	3367
313	625	3356
314	625	3346
315	626	3336
316	626	3325
317	626	3315
318	627	3305
319	627	3295
320	628	3287
321	656	3418
322	656	3408
323	656	3397
324	657	3389
325	657	3378
326	658	3367
327	658	3358
328	661	3358
329	675	3419
330	676	3411
331	677	3401
332	677	3391
333	677	3381
334	678	3370
335	678	3360
336	678	3349
337	679	3339
338	684	3352
339	684	3343
340	685	3333
341	686	3329
342	687	3319
343	687	3309
344	687	3299
345	688	3289
346	688	3279
347	689	3274
348	690	3264
349	690	3255
350	690	3245
351	691	3236
352	692	3229
353	692	3220
354	693	3212
355	693	3203
356	693	3193
357	694	3184
358	694	3174
359	694	3165
360	695	3155
361	695	3146
362	695	3136
363	695	3127
364	696	3117
365	696	3109
366	696	3101
367	697	3092
368	697	3083
369	697	3074
370	698	3068
371	699	3061
372	700	3056
373	700	3047
374	701	3038
375	701	3029
376	701	3020
377	701	3012
378	702	3003
379	702	2995
380	702	2986
381	703	2978
382	703	2969
383	703	2961
384	704	2953
385	705	2948
386	705	2941
387	706	2933
388	706	2926
389	706	2918
390	707	2910
391	707	2902
392	707	2894
393	710	2894
394	710	2886
395	710	2879
396	711	2871
397	711	2863
398	711	2855
399	712	2849
400	712	2842
401	713	2836
402	713	2828
403	714	2822
404	720	2838
405	721	2830
406	721	2824
407	722	2817
408	722	2809
409	722	2802
410	722	2795
411	723	2787
412	723	2780
413	723	2773
414	724	2766
415	724	2758
416	724	2751
417	725	2745
418	725	2737
419	725	2730
420	725	2722
421	726	2715
422	726	2708
423	726	2700
424	726	2693
425	727	2686
426	727	2679
427	727	2672
428	727	2665
429	728	2658
430	730	2658
431	730	2652
432	731	2645
433	731	2640
434	731	2633
435	732	2626
436	732	2620
437	733	2614
438	733	2608
439	733	2601
440	740	2619
441	742	2617
442	742	2611
443	744	2609
444	751	2625
445	751	2619
446	752	2614
447	752	2608
448	753	2602
449	753	2596
450	754	2590
451	754	2583
452	754	2577
453	755	2571
454	755	2564
455	755	2558
456	755	2552
457	756	2545
458	756	2539
459	756	2532
460	756	2526
461	756	2520
462	757	2513
463	757	2508
464	758	2504
465	759	2498
466	759	2492
467	759	2486
468	759	2480
469	760	2474
470	760	2470
471	762	2469
472	763	2464
473	763	2458
474	763	2452
475	764	2446
476	764	2440
477	764	2434
478	764	2428
479	804	2548
480	807	2548
481	807	2543
482	809	2542
483	809	2537
484	813	2541
485	814	2536
486	814	2531
487	814	2525
488	815	2519
489	815	2512
490	815	2506
491	815	2500
492	816	2495
493	822	2506
494	824	2505
495	824	2500
496	824	2494
497	825	2488
498	825	2484
499	826	2478
500	826	2472
501	826	2467
502	827	2461
503	830	2466
504	959	2839
505	977	2887
506	978	2880
507	978	2873
508	978	2866
509	978	2859
510	979	2853
511	979	2847
512	988	2864
513	988	2858
514	989	2852
515	998	2871
516	1000	2868
517	1032	2953
518	1033	2949
519	1058	3012
520	1059	3009
521	1060	3002
522	1060	2995
523	1060	2988
524	1061	2981
525	1061	2974
526	1069	2990
527	1071	2987
528	1073	2983
529	1073	2977
530	1073	2970
531	1073	2963
532	1074	2956
533	1074	2949
534	1074	2942
535	1074	2936
536	1075	2929
537	1075	2922
538	1075	2916
539	1076	2909
540	1076	2902
541	1076	2896
542	1076	2889
543	1077	2883
544	1077	2876
545	1077	2870
546	1077	2863
547	1078	2857
548	1078	2851
549	1090	2875
550	1098	2888
551	1104	2897
552	1104	2891
553	1105	2885
554	1105	2878
555	1106	2872
556	1106	2866
557	1106	2859
558	1106	2853
559	1107	2847
560	1107	2841
561	1108	2836
562	1109	2830
563	1109	2824
564	1109	2818
565	1110	2812
566	1110	2806
567	1110	2800
568	1110	2793
569	1111	2787
570	1111	2781
571	1111	2775
572	1111	2768
573	1112	2764
574	1112	2757
575	1113	2751
576	1113	2745
577	1113	2739
578	1113	2732
579	1169	2864
580	1170	2859
581	1170	2852
582	1171	2846
583	1171	2840
584	1171	2834
585	1172	2829
586	1174	2827
587	1175	2822
588	1175	2816
589	1175	2810
590	1176	2804
591	1176	2798
592	1177	2793
593	1178	2790
594	1182	2791
595	1182	2785
596	1183	2780
597	1184	2776
598	1184	2770
599	1185	2765
600	1185	2760
601	1190	2763
602	1190	2759
603	1209	2796
604	1210	2790
605	1210	2784
606	1210	2779
607	1211	2773
608	1211	2767
609	1211	2761
610	1212	2755
611	1212	2749
612	1212	2743
613	1213	2738
614	1213	2732
615	1213	2727
616	1278	2865
617	1278	2859
